taxID	FSLB_count	GP143_count	GP157_count	GPR1_count	Galpha_count	Gbeta_count	Ggamma_count	Mth_count	Nematode_count	Olfactory_count	RBP1_count	STE2_count	STE3_count	TBP_count	Vomeronasal1_count	Vomeronasal2_count	cAMP_count	classA_count	classB1_count	classB2_count	classC_count	classF_count	classT_count
215358	0	1	1	0	27	8	5	0	0	9	5	0	0	3	4	7	0	480	25	36	31	15	3
215402	0	1	1	0	24	8	18	0	0	106	3	0	0	2	3	6	1	466	23	37	34	13	0
215461	1	0	0	2	4	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
215465	3	0	0	5	3	1	1	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0
215637	0	0	0	0	3	2	3	0	0	0	2	0	0	1	0	0	1	0	0	0	2	0	0
2163413	0	0	0	1	2	1	1	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0
2175873	1	0	0	5	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
2175906	1	0	0	5	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
2182728	0	0	0	0	2	2	3	0	0	0	5	0	0	2	0	0	1	0	0	0	0	0	0
2184029	1	0	0	0	10	4	2	0	0	0	3	0	0	1	0	0	0	0	0	0	2	0	0
218843	0	0	0	0	1	1	3	0	0	0	6	0	0	4	0	0	0	0	0	0	1	0	0
218851	0	0	0	0	1	2	2	0	0	0	6	0	0	6	0	0	1	0	0	0	1	0	0
219545	0	0	1	0	25	9	18	0	0	2	3	0	0	3	1	7	1	313	21	44	27	12	0
219594	0	1	1	0	17	4	12	0	0	207	2	0	0	3	0	0	0	287	18	24	16	11	4
221103	0	0	0	1	19	1	1	0	0	0	3	0	10	1	0	0	0	0	0	0	0	0	0
2211642	0	0	0	1	5	1	1	0	0	0	3	1	1	2	0	0	2	0	0	0	0	0	0
2211643	1	0	0	3	5	1	1	0	0	0	3	1	1	2	0	0	2	0	0	0	0	0	0
2211644	0	0	0	3	4	1	1	0	0	0	3	1	1	2	0	0	2	0	0	0	0	0	0
2211645	0	0	0	2	5	1	1	0	0	0	3	1	1	2	0	0	2	0	0	0	0	0	0
2211646	0	0	0	2	3	1	1	0	0	0	3	1	1	2	0	0	2	0	0	0	0	0	0
